Product ID,Category,Sub-Category,Product Name,Unit Price,Unit Cost
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","880,9800000000001","678,3546"
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,"16,03","8,335600000000001"
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","51,75","36,22500000000001"
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,"2,04","1,0812000000000004"
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","17,98","12,765800000000004"
OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","3,8100000000000005","2,0955"
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,"9,85","6,106999999999999"
OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,"12,28","6,508400000000002"
TEC-PH-10004977,Technology,Phones,GE 30524EE4,"195,99000000000004","139,15290000000007"
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","95,46","67,7766"
OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","15,74","8,657000000000002"
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","260,98","193,12519999999998"
FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray","100,98","75,735"
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,"115,99","82,3529"
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,"45,99","32,6529"
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum","38,94","36,993"
OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","59,76","43,02719999999999"
TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","22,99","13,104299999999999"
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"8,73","4,626900000000001"
OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","52,99","50,870400000000004"
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,"15,0","13,35"
TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","10,9","7,848"
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","6,37","3,3760999999999997"
OFF-LA-10002762,Office Supplies,Labels,Avery 485,"12,53","6,640899999999999"
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,"3,08","1,6016000000000001"
FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black","89,99","72,8919"
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,"2,18","1,2862000000000002"
TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"205,99","146,2529"
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,"34,76","26,070000000000004"
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,"6,480000000000001","3,369600000000001"
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,"70,98","62,4624"
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors","7,28","3,7856"
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,"15,15","8,029500000000002"
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,"1,68","0,84"
TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","6,99","3,9143999999999997"
OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","5,38","2,7438000000000002"
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,"48,91","25,922299999999996"
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,"19,94","14,3568"
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray","60,89","45,6675"
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","173,91","125,21520000000001"
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,"52,49","26,245000000000005"
OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","37,94","20,1082"
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,"5,77","2,885"
OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","6,349999999999999","3,428999999999999"
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,"129,99","118,29090000000002"
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","60,65","47,913500000000006"
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,"90,98","90,98"
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,"2,08","1,0608000000000002"
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black","8,09","5,177600000000001"
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","11,35","8,171999999999999"
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","9,65","6,755000000000001"
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","208,16","151,9568"
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,"5,580000000000001","2,9016000000000006"
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","2,98","2,1456"
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","21,39","15,186900000000001"
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"35,89000000000001","19,73950000000001"
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,"95,99","93,1103"
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,"150,98","134,3722"
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"19,99","13,1934"
OFF-LA-10000134,Office Supplies,Labels,Avery 511,"3,08","1,6016000000000001"
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,"28,28","20,6444"
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,"6,7","4,489000000000001"
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,"6,48","3,3696"
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,"6,48","3,3696"
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock","17,78","12,268200000000002"
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,"16,48","8,4048"
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,"18,94","9,470000000000002"
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,"13,790000000000001","7,9982"
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,"21,379999999999995","11,117600000000001"
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,"12,979999999999999","9,2158"
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,"11,539999999999997","6,0008"
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,"39,99","35,591100000000004"
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,"2,98","1,6091999999999997"
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"5,98","3,0498000000000003"
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,"49,77","44,295300000000005"
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","42,64999999999999","35,399499999999996"
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","40,98","20,899800000000003"
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,"11,58","7,0638000000000005"
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,"34,99","25,892600000000005"
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,"4,13","2,2302000000000004"
TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,"84,99000000000001","54,39360000000001"
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,"20,98","15,5252"
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue","37,98","26,586000000000002"
OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders","4,54","2,3154000000000003"
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes","3,5800000000000005","1,8258000000000005"
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","2,95","1,5340000000000005"
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,"9,99","5,494500000000001"
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","27,179999999999996","14,4054"
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,"262,51","207,38289999999998"
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,"525,98","273,50960000000003"
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,"15,68","9,5648"
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black","37,76","27,1872"
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,"12,78","7,029"
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,"9,72","6,901200000000001"
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"285,98","203,0458"
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,"205,9","170,89700000000002"
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels","3,98","2,1094"
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black","43,57","30,499000000000006"
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,"79,52","70,7728"
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"19,99","14,392799999999998"
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,"48,94","24,470000000000002"
OFF-FA-10002780,Office Supplies,Fasteners,Staples,"2,9799999999999995","1,6092000000000002"
OFF-PA-10001804,Office Supplies,Paper,Xerox 195,"6,68","3,4736"
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,"35,44","18,7832"
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box","2,88","2,016"
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,"2,01","1,0251"
OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,"31,74","16,504800000000003"
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,"10,979999999999999","7,905599999999999"
OFF-AR-10000940,Office Supplies,Art,Newell 343,"2,94","2,1462"
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,"3,6199999999999997","1,9185999999999996"
OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,"47,9","24,907999999999998"
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"279,81","207,0594"
FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock","29,34","20,244600000000005"
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,"34,95","25,5135"
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,"49,99","47,9904"
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,"34,31","18,1843"
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,"39,48","28,0308"
TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,"126,99","93,9726"
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,"8,34","4,587000000000001"
OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,"26,38","14,2452"
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black","13,479999999999999","9,9752"
OFF-AR-10001547,Office Supplies,Art,Newell 311,"2,21","1,6133"
OFF-LA-10002475,Office Supplies,Labels,Avery 519,"7,31","3,8743"
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,"134,99","101,24249999999999"
OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,"5,98","3,2890000000000006"
TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,"33,99","26,512200000000007"
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,"5,68","3,0104"
OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,"17,3","8,996000000000002"
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,"4,14","2,4012"
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"1699,99","1189,9930000000002"
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,"114,96999999999998","111,5209"
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,"276,2","196,10199999999998"
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,"6,68","4,2084"
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,"177,98","126,3658"
TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,"59,99","44,9925"
OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”","6,98","3,6994000000000002"
OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,"55,48","28,8496"
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray","60,74000000000001","45,55500000000001"
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"131,12","91,78400000000002"
OFF-LA-10003148,Office Supplies,Labels,Avery 51,"6,3","3,402"
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","121,58","85,10600000000002"
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton","80,98","58,30559999999999"
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,"3,97","3,9303000000000003"
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count","3,28","1,8695999999999997"
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black","15,510000000000002","11,477400000000001"
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,"72,99","47,44349999999999"
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,"125,99","93,23259999999999"
TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),"29,99","21,592799999999997"
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,"14,5","10,875"
OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,"3,58","1,8616000000000001"
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"22,1","19,227"
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray","15,51","11,167200000000001"
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","280,98","196,68600000000004"
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,"11,96","8,6112"
OFF-PA-10000061,Office Supplies,Paper,Xerox 205,"6,48","3,3696"
OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,"3,9799999999999995","2,6666"
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","4,63","3,1021000000000005"
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","2,52","1,4868"
OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,"15,42","11,4108"
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","4,91","2,6023"
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","6,69","3,4119000000000006"
OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,"9,06","4,983000000000001"
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,"218,75","190,3125"
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack","3,25","2,3075"
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,"165,71","122,6254"
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy","6,280000000000001","3,6424000000000007"
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,"138,99","100,0728"
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray","20,98","19,511400000000002"
TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,"65,99","48,17269999999999"
OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head","5,81","4,008900000000001"
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","91,99","88,3104"
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,"13,0","7,15"
OFF-LA-10004544,Office Supplies,Labels,Avery 505,"14,8","7,400000000000002"
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,"180,98","139,3546"
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,"440,0","237,60000000000005"
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,"55,99","42,5524"
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,"125,99","93,23259999999999"
OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,"3,49","1,8846000000000003"
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","4,73","2,4123000000000006"
FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock","22,719999999999995","13,404799999999998"
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,"399,99","215,99460000000002"
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,"16,98","12,225600000000002"
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow","2,2","1,232"
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,"124,48999999999998","97,1022"
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,"21,98","21,7602"
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,"100,98","94,92120000000001"
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo","60,89","43,23190000000001"
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,"8,88","4,44"
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,"212,6","167,954"
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,"376,13000000000005","289,62010000000004"
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""","107,52999999999999","86,024"
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,"257,49000000000007","208,56690000000006"
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),"5,28","2,9040000000000004"
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,"6,480000000000001","3,304800000000001"
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,"209,84","155,2816"
FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,"9,74","5,4544"
TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,"19,99","10,3948"
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,"70,89","59,54759999999999"
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,"3,3700000000000006","2,2916000000000003"
OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,"83,36","62,519999999999996"
OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","7,98","3,99"
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,"300,65","201,4355"
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","200,98","146,7154"
OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page","7,61","4,0333000000000006"
OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy","13,43","9,669599999999999"
OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,"90,48","49,764"
OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black","51,48","50,965199999999996"
TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,"134,98","98,5354"
TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,"6,79","4,4814"
OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,"73,85","71,63449999999999"
OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,"4,38","2,2776000000000005"
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,"4,06","3,045"
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,"599,9899999999999","395,9933999999999"
TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,"102,57","74,8761"
TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,"39,95","22,372"
OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack","5,839999999999999","3,0951999999999997"
OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,"1,26","1,2096"
